 Name                               Version         License                                           
 Jinja2                             3.1.4           BSD License                                       
 MarkupSafe                         3.0.1           BSD License                                       
 PyYAML                             6.0.2           MIT License                                       
 Pygments                           2.18.0          BSD License                                       
 Send2Trash                         1.8.3           BSD License                                       
 anyio                              4.6.1           MIT License                                       
 appnope                            0.1.4           BSD License                                       
 argon2-cffi                        23.1.0          MIT License                                       
 argon2-cffi-bindings               21.2.0          MIT License                                       
 arrow                              1.3.0           Apache Software License                           
 asttokens                          2.4.1           Apache 2.0                                        
 async-lru                          2.0.4           MIT License                                       
 attrs                              24.2.0          MIT License                                       
 aws-cdk-lib                        2.172.0         Apache-2.0                                        
 aws-cdk.asset-awscli-v1            2.2.214         Apache-2.0                                        
 aws-cdk.asset-kubectl-v20          2.1.3           Apache-2.0                                        
 aws-cdk.asset-node-proxy-agent-v6  2.1.0           Apache-2.0                                        
 aws-cdk.cloud-assembly-schema      38.0.1          Apache-2.0                                        
 babel                              2.16.0          BSD License                                       
 backcall                           0.2.0           BSD License                                       
 beautifulsoup4                     4.12.3          MIT License                                       
 black                              24.10.0         MIT License                                       
 bleach                             6.1.0           Apache Software License                           
 boto3                              1.35.78         Apache Software License                           
 botocore                           1.35.78         Apache Software License                           
 cattrs                             24.1.2          MIT License                                       
 cdk-nag                            2.34.22         Apache-2.0                                        
 certifi                            2024.8.30       Mozilla Public License 2.0 (MPL 2.0)              
 cffi                               1.17.1          MIT License                                       
 charset-normalizer                 3.4.0           MIT License                                       
 click                              8.1.7           BSD License                                       
 coloredlogs                        15.0.1          MIT License                                       
 comm                               0.2.2           BSD License                                       
 constructs                         10.4.2          Apache-2.0                                        
 debugpy                            1.8.7           MIT License                                       
 decorator                          5.1.1           BSD License                                       
 defusedxml                         0.7.1           Python Software Foundation License                
 docopt                             0.6.2           MIT License                                       
 executing                          2.1.0           MIT License                                       
 fastjsonschema                     2.20.0          BSD License                                       
 filelock                           3.16.1          The Unlicense (Unlicense)                         
 flatbuffers                        24.3.25         Apache Software License                           
 fqdn                               1.5.1           Mozilla Public License 2.0 (MPL 2.0)              
 fsspec                             2024.10.0       BSD License                                       
 h11                                0.14.0          MIT License                                       
 httpcore                           1.0.6           BSD License                                       
 httpx                              0.27.2          BSD License                                       
 huggingface-hub                    0.26.5          Apache Software License                           
 humanfriendly                      10.0            MIT License                                       
 idna                               3.10            BSD License                                       
 importlib_resources                6.4.5           Apache Software License                           
 iniconfig                          2.0.0           MIT License                                       
 ipykernel                          6.29.5          BSD License                                       
 ipython                            8.12.3          BSD License                                       
 isoduration                        20.11.0         ISC License (ISCL)                                
 isort                              5.13.2          MIT License                                       
 jedi                               0.19.1          MIT License                                       
 jmespath                           1.0.1           MIT License                                       
 jsii                               1.105.0         Apache Software License                           
 json5                              0.9.25          Apache Software License                           
 jsonpointer                        3.0.0           BSD License                                       
 jsonschema                         4.23.0          MIT License                                       
 jsonschema-specifications          2024.10.1       MIT License                                       
 jupyter-events                     0.10.0          BSD License                                       
 jupyter-lsp                        2.2.5           BSD License                                       
 jupyter_client                     8.6.3           BSD License                                       
 jupyter_core                       5.7.2           BSD License                                       
 jupyter_server                     2.14.2          BSD License                                       
 jupyter_server_terminals           0.5.3           BSD License                                       
 jupyterlab                         4.2.5           BSD License                                       
 jupyterlab_pygments                0.3.0           BSD License                                       
 jupyterlab_server                  2.27.3          BSD License                                       
 matplotlib-inline                  0.1.7           BSD License                                       
 mistune                            3.0.2           BSD License                                       
 mpmath                             1.3.0           BSD License                                       
 mypy-extensions                    1.0.0           MIT License                                       
 nbclient                           0.10.0          BSD License                                       
 nbconvert                          7.16.4          BSD License                                       
 nbformat                           5.10.4          BSD License                                       
 nest-asyncio                       1.6.0           BSD License                                       
 networkx                           3.4.2           BSD License                                       
 notebook                           7.2.2           BSD License                                       
 notebook_shim                      0.2.4           BSD License                                       
 numpy                              2.2.0           BSD License                                       
 onnx                               1.17.0          Apache License v2.0                               
 onnxruntime                        1.20.1          MIT License                                       
 overrides                          7.7.0           Apache License, Version 2.0                       
 packaging                          24.1            Apache Software License; BSD License              
 pandocfilters                      1.5.1           BSD License                                       
 parso                              0.8.4           MIT License                                       
 pathspec                           0.12.1          Mozilla Public License 2.0 (MPL 2.0)              
 pexpect                            4.9.0           ISC License (ISCL)                                
 pickleshare                        0.7.5           MIT License                                       
 pipreqs                            0.5.0           Apache Software License                           
 platformdirs                       4.3.6           MIT License                                       
 pluggy                             1.5.0           MIT License                                       
 projen                             0.88.3          Apache-2.0                                        
 prometheus_client                  0.21.0          Apache Software License                           
 prompt_toolkit                     3.0.48          BSD License                                       
